,mains,oven,refrigerator,dishwaser,kitchen_outlets,kitchen_outlets,kitchen_outlets,kitchen_outlets,lighting,lighting,lighting,washer,microwave,bathroom_gfi,electric_heat,stove,dryer
0.45,440.08,0,203,0,27,21,1,0,81,0,45,0,4,1,0,0,0
0.46,434.63,0,197,0,26,21,1,0,81,0,45,0,4,1,0,0,0
0.47,429.65,0,198,0,22,20,1,0,81,0,45,0,4,1,0,0,0
0.48,429.45,0,195,0,25,21,1,0,81,0,45,0,4,1,0,0,0
0.49,427.77,0,191,0,25,23,1,0,81,0,45,0,4,1,0,0,0
0.5,426.6,0,191,0,23,23,1,0,81,0,45,0,4,1,0,0,0
0.51,381.95,0,194,0,23,23,1,0,81,0,2,0,4,1,0,0,0
0.52,412.37,0,191,0,25,23,1,0,81,0,2,0,37,1,0,0,0
0.53,596.73,0,427,2,23,22,1,0,82,0,2,0,4,2,0,1,0
0.54,592.74,0,424,2,24,20,1,0,82,0,2,0,4,1,0,1,0
0.55,587.63,0,423,2,23,20,1,0,82,0,2,1,4,2,0,1,0
0.56,583.66,0,421,2,24,20,1,0,81,0,2,0,4,2,0,1,0
0.57,586.44,0,422,1,25,20,1,0,81,0,2,0,4,2,0,1,0
0.58,587.54,0,423,2,22,20,1,0,82,0,2,0,4,2,0,1,0
0.59,589.49,0,423,2,24,20,1,0,82,0,2,0,4,2,0,1,0
1,588.77,0,422,2,26,20,1,0,82,0,2,0,4,2,0,0,0
1.01,589.24,0,422,2,23,19,1,0,82,0,2,0,4,2,0,1,0
1.02,589,0,423,2,22,20,1,0,82,0,2,0,4,2,0,1,0
1.03,590.38,0,423,1,25,20,1,0,82,0,2,0,4,2,0,0,0
1.04,197.72,0,7,0,25,21,1,0,81,0,1,0,4,1,0,0,0
1.05,194.52,0,7,0,21,21,1,0,81,0,2,0,4,1,0,0,0
1.06,194.27,0,7,0,20,21,1,0,81,0,1,0,4,1,0,0,0
1.07,197.02,0,7,0,23,21,1,0,81,0,2,0,4,1,0,0,0
1.08,193.69,0,7,0,20,21,1,0,80,0,2,0,4,1,0,0,0
1.09,193.47,0,7,0,22,21,1,0,81,0,1,0,4,1,0,0,0
1.1,193.7,0,7,0,20,21,1,0,80,0,2,0,4,1,0,0,0
1.11,192.5,0,7,0,21,21,1,0,81,0,1,0,4,1,0,0,0
1.12,191.53,0,7,0,20,21,1,0,81,0,2,0,4,1,0,0,0
1.13,194.1,0,7,0,20,21,1,0,81,0,2,0,4,1,0,0,0
1.14,193.4,0,7,0,22,21,1,0,80,0,1,0,4,1,0,0,0
1.15,192.68,0,7,0,23,21,1,0,80,0,1,0,4,1,0,0,0
1.16,195.42,0,7,0,24,20,1,0,80,0,1,0,4,1,0,0,0
1.17,192.76,0,7,0,22,21,1,0,80,0,2,0,4,1,0,0,0
1.18,430.12,0,247,1,21,20,1,0,81,0,2,0,4,1,0,0,0
1.19,401.16,0,218,0,25,20,1,0,81,0,1,0,4,1,0,0,0
1.2,395.73,0,212,0,21,20,1,0,81,0,1,0,4,1,0,0,0
1.21,392.41,0,209,0,21,20,1,0,81,0,2,0,4,1,0,0,0
1.22,390.25,0,206,0,20,20,1,0,81,0,2,0,4,1,0,0,0
1.23,388.76,0,206,0,24,20,1,0,81,0,2,0,4,1,0,0,0
1.24,385.67,0,205,0,20,20,1,0,81,0,2,0,4,1,0,0,0
1.25,384.6,0,203,0,21,21,1,0,81,0,2,0,4,1,0,0,0
1.26,386.48,0,199,0,21,20,1,0,81,0,2,0,4,1,0,0,0
1.27,383.12,0,199,0,21,21,1,0,81,0,1,0,4,1,0,0,0
1.28,381.62,0,199,0,20,21,1,0,81,0,2,0,4,1,0,0,0
1.29,383.73,0,197,0,22,20,1,0,81,0,2,0,4,1,0,0,0
1.3,379.56,0,197,0,20,20,1,0,81,0,1,0,4,1,0,0,0
1.31,380.35,0,194,0,21,21,1,0,81,0,1,0,4,1,0,0,0
1.32,381.6,0,193,0,23,21,1,0,81,0,1,0,4,1,0,0,0
1.33,378.43,0,196,0,21,20,1,0,81,0,2,0,4,1,0,0,0
1.34,377.95,0,193,0,21,21,1,0,81,0,1,0,4,1,0,0,0
1.35,381.18,0,191,0,26,20,1,0,82,0,1,0,4,1,0,0,0
1.36,375.07,0,191,0,21,21,1,0,81,0,2,0,4,1,0,0,0
1.37,376.52,0,189,0,21,23,1,0,82,0,2,0,4,1,0,0,0
1.38,378.15,0,189,0,21,23,1,0,82,0,2,0,4,1,0,0,0
1.39,376.04,0,190,0,21,23,1,0,81,0,2,0,4,1,0,0,0
1.4,374.18,0,189,0,21,23,1,0,81,0,1,0,4,1,0,0,0
1.41,1978.7,0,192,0,22,20,2,2,80,0,2,0,1591,13,7,6,0
1.42,373.63,0,189,0,23,21,1,0,81,0,2,0,4,1,0,0,0
1.43,370.03,0,187,0,23,20,1,0,81,0,1,0,4,1,0,0,0
1.44,370.54,0,186,0,21,20,1,0,81,0,2,0,4,1,0,0,0
1.45,369.45,0,187,0,21,20,1,0,81,0,2,0,4,1,0,0,0
1.46,368.33,0,186,0,21,20,1,0,81,0,1,0,4,1,0,0,0
1.47,193.6,0,6,0,20,21,1,0,80,0,2,0,4,1,0,0,0
1.48,195.62,0,6,0,21,21,1,0,80,0,1,0,4,1,0,0,0
1.49,194.31,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
1.5,193.74,0,6,0,20,20,1,0,81,0,1,0,4,1,0,0,0
1.51,197.72,0,6,0,25,20,1,0,81,0,1,0,4,1,0,0,0
1.52,195.11,0,6,0,22,21,1,0,81,0,2,0,4,1,0,0,0
1.53,195.52,0,6,0,22,21,1,0,81,0,1,0,4,1,0,0,0
1.54,1780.5,0,7,0,23,21,1,2,80,0,2,0,1567,13,7,6,0
1.55,196.01,0,6,0,19,21,1,0,81,0,1,0,4,1,0,0,0
1.56,195.22,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
1.57,197.09,0,6,0,22,21,1,0,81,0,2,0,4,1,0,0,0
1.58,1735.4,0,6,0,21,21,1,1,80,0,2,0,1531,12,7,6,0
1.59,222.36,0,6,0,21,21,1,0,81,0,2,0,37,1,0,0,0
2,198.31,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.01,195.53,0,7,0,24,21,1,0,81,0,2,0,4,1,0,0,0
2.02,195.74,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.03,196.84,0,7,0,23,21,1,0,81,0,2,0,4,1,0,0,0
2.04,196.91,0,6,0,23,21,1,0,81,0,1,0,4,1,0,0,0
2.05,194.43,0,7,0,21,21,1,0,80,0,2,0,4,1,0,0,0
2.06,194.78,0,7,0,21,21,1,0,81,0,2,0,4,1,0,0,0
2.07,196.9,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.08,194.79,0,7,0,19,21,1,0,81,0,1,0,4,1,0,0,0
2.09,195.53,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.1,195.61,0,6,0,23,21,1,0,81,0,1,0,4,1,0,0,0
2.11,194.88,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.12,194.98,0,7,0,26,21,1,0,81,0,1,0,4,1,0,0,0
2.13,198.14,0,6,0,24,21,1,0,81,0,2,0,4,1,0,0,0
2.14,195.41,0,6,0,21,21,1,0,81,0,1,0,4,1,0,0,0
2.15,195.08,0,6,0,19,21,1,0,80,0,2,0,4,1,0,0,0
2.16,196.32,0,7,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.17,197.64,0,6,0,22,21,1,0,81,0,1,0,4,1,0,0,0
2.18,195.25,0,6,0,19,21,1,0,81,0,1,0,4,1,0,0,0
2.19,197.61,0,7,0,22,21,1,0,81,0,1,0,4,1,0,0,0
2.2,195.15,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.21,194.35,0,7,0,21,21,1,0,81,0,1,0,4,1,0,0,0
2.22,198.35,0,6,0,23,21,1,0,81,0,1,0,4,1,0,0,0
2.23,197.33,0,6,0,20,21,1,0,81,0,1,0,4,1,0,0,0
2.24,196.1,0,6,0,21,21,1,0,81,0,1,0,4,1,0,0,0
2.25,198.55,0,6,0,20,24,1,0,81,0,1,0,4,1,0,0,0
2.26,200.66,0,6,0,22,24,1,0,81,0,1,0,4,1,0,0,0
2.27,388.81,0,201,0,20,23,1,0,81,0,1,0,4,1,0,0,0
2.28,387.24,0,198,0,21,23,1,0,81,0,2,0,4,1,0,0,0
2.29,381.34,0,196,0,23,21,1,0,81,0,2,0,4,1,0,0,0
2.3,381.11,0,194,0,22,21,1,0,81,0,1,0,4,1,0,0,0
2.31,379.46,0,196,0,21,21,1,0,82,0,1,0,4,1,0,0,0
2.32,279.73,0,191,0,21,21,1,0,2,0,1,0,4,1,0,0,0
2.33,277.75,0,191,0,21,21,1,0,2,0,1,0,4,1,0,0,0
2.34,275.49,0,191,0,20,20,1,0,2,0,2,0,4,1,0,0,0
2.35,277.09,0,192,0,21,21,1,0,2,0,1,0,4,1,0,0,0
2.36,273.14,0,187,0,21,20,1,0,2,0,1,0,4,1,0,0,0
2.37,273.6,0,188,0,21,21,1,0,2,0,2,0,4,1,0,0,0
2.38,275.17,0,186,0,24,21,1,0,2,0,2,0,4,1,0,0,0
2.39,95.96,0,7,0,20,22,1,0,1,0,1,0,4,1,0,0,0
2.4,96.05,0,6,0,20,21,1,0,1,0,2,0,4,1,0,0,0
2.41,97,0,6,0,20,22,1,0,1,0,1,0,4,1,0,0,0
2.42,95.69,0,6,0,21,21,1,0,1,0,1,0,4,1,0,0,0
2.43,96.34,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
2.44,101.34,0,6,0,23,21,1,0,1,0,1,0,4,1,0,0,0
2.45,95.44,0,7,0,23,21,1,0,2,0,1,0,4,1,0,0,0
2.46,95.5,0,7,0,20,21,1,0,1,0,1,0,4,1,0,0,0
2.47,98.08,0,7,0,22,21,1,0,2,0,1,0,4,1,0,0,0
2.48,95.74,0,7,0,20,21,1,0,1,0,1,0,4,1,0,0,0
2.49,96.34,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
2.5,95.5,0,6,0,22,21,1,0,2,0,1,0,4,0,0,0,0
2.51,95.9,0,6,0,21,21,1,0,2,0,1,0,4,1,0,0,0
2.52,95.9,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
2.53,96.98,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
2.54,95.6,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
2.55,95.4,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
2.56,97.88,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
2.57,95.72,0,6,0,22,21,1,0,2,0,1,0,4,1,0,0,0
2.58,96.08,0,6,0,22,21,1,0,1,0,1,0,4,1,0,0,0
2.59,95.99,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3,95.41,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
3.01,95.09,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.02,98.53,0,7,0,23,21,1,0,2,0,1,0,4,1,0,0,0
3.03,94.95,0,6,0,22,21,1,0,2,0,1,0,4,1,0,0,0
3.04,94.4,0,6,0,27,21,1,0,1,0,1,0,4,1,0,0,0
3.05,95.94,0,7,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.06,94.37,0,6,0,20,21,1,0,1,0,2,0,4,1,0,0,0
3.07,95.05,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.08,95.04,0,7,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.09,95.49,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
3.1,95.58,0,6,0,21,21,1,0,2,0,1,0,4,1,0,0,0
3.11,291.02,0,204,0,21,23,1,0,2,0,2,0,4,1,0,0,0
3.12,284.76,0,196,0,21,23,1,0,2,0,1,0,4,1,0,0,0
3.13,282.53,0,197,0,21,23,1,0,2,0,1,0,4,1,0,0,0
3.14,281.12,0,193,0,21,23,1,0,2,0,1,0,4,1,0,0,0
3.15,275.85,0,193,0,21,20,1,0,2,0,1,0,4,1,0,0,0
3.16,275.5,0,191,0,21,20,1,0,2,0,1,0,4,1,0,0,0
3.17,273.96,0,193,0,22,20,1,0,2,0,1,0,4,1,0,0,0
3.18,272.55,0,187,0,21,20,1,0,2,0,1,0,4,1,0,0,0
3.19,272.14,0,185,0,21,20,1,0,2,0,1,0,4,1,0,0,0
3.2,271.05,0,186,0,21,20,1,0,2,0,1,0,4,1,0,0,0
3.21,269.38,0,186,0,23,20,1,0,2,0,2,0,4,1,0,0,0
3.22,94.97,0,7,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.23,99.17,0,6,0,20,21,2,0,1,0,1,0,4,1,0,0,0
3.24,96.21,0,6,0,21,21,1,0,2,0,1,0,4,1,0,0,0
3.25,95.91,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.26,95.62,0,6,0,19,21,1,0,2,0,1,0,4,1,0,0,0
3.27,95.64,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.28,94.98,0,7,0,20,21,1,0,2,0,1,0,4,1,0,0,0
3.29,97.24,0,7,0,23,21,1,0,1,0,1,0,4,1,0,0,0
3.3,95.71,0,6,0,22,21,1,0,2,0,1,0,4,1,0,0,0
3.31,95.03,0,7,0,21,21,1,0,2,0,1,0,4,1,0,0,0
3.32,100.59,0,6,0,23,21,1,0,1,0,1,0,4,1,0,0,0
3.33,96.64,0,7,0,21,21,1,0,1,0,1,0,4,1,0,0,0
3.34,95.72,0,7,0,20,21,1,0,1,0,1,0,4,1,0,0,0
3.35,95.68,0,7,0,21,21,1,0,1,0,1,0,4,1,0,0,0
3.36,99.2,0,6,0,25,21,1,0,2,0,1,0,4,1,0,0,0
3.37,98.73,0,6,0,22,21,1,0,1,0,1,0,4,1,0,0,0
3.38,99.11,0,7,0,22,21,1,0,2,0,1,0,4,1,0,0,0
3.39,101.38,0,6,0,25,21,1,0,2,0,1,0,4,1,0,0,0
3.4,99.55,0,6,0,24,21,1,0,1,0,1,0,4,1,0,0,0
3.41,100.09,0,7,0,21,21,1,0,2,0,1,0,4,1,0,0,0
3.42,103.99,0,7,0,24,21,1,0,1,0,1,0,4,1,0,0,0
3.43,100.82,0,6,0,22,21,1,0,1,0,1,0,4,1,0,0,0
3.44,100.34,0,6,0,23,21,1,0,2,0,1,0,4,1,0,0,0
3.45,99.81,0,6,0,21,21,1,0,2,0,2,0,4,1,0,0,0
3.46,100.27,0,7,0,22,21,1,0,1,0,1,0,4,1,0,0,0
3.47,96.67,0,6,0,19,21,1,0,1,0,2,0,4,1,0,0,0
3.48,100.14,0,7,0,23,21,1,0,1,0,1,0,4,1,0,0,0
3.49,95.93,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
3.5,96.99,0,7,0,20,21,2,0,1,0,1,0,4,1,0,0,0
3.51,96.63,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
3.52,96.53,0,6,0,20,21,1,0,2,0,1,0,4,1,0,0,0
3.53,290.97,0,206,0,20,23,1,0,2,0,1,0,4,1,0,0,0
3.54,286.03,0,198,0,21,23,1,0,2,0,1,0,4,1,0,0,0
3.55,283.61,0,198,0,21,23,1,0,2,0,1,0,4,1,0,0,0
3.56,282.38,0,197,0,21,23,1,0,2,0,1,0,4,1,0,0,0
3.57,280.31,0,192,0,24,20,1,0,2,0,1,0,4,1,0,0,0
3.58,275.8,0,192,0,22,21,1,0,2,0,1,0,4,1,0,0,0
3.59,275.31,0,191,0,21,20,1,0,2,0,1,0,4,1,0,0,0
4,274.3,0,191,0,21,20,1,0,2,0,2,0,4,1,0,0,0
4.01,272.18,0,187,0,23,20,1,0,2,0,1,0,4,1,0,0,0
4.02,271.4,0,186,0,23,20,1,0,2,0,1,0,4,1,0,0,0
4.03,275.44,0,186,0,27,20,1,0,2,0,1,0,4,1,0,0,0
4.04,99.98,0,6,0,22,21,1,0,2,0,1,0,4,1,0,0,0
4.05,100.87,0,7,0,22,21,1,0,2,0,1,0,4,1,0,0,0
4.06,102.78,0,6,0,24,21,1,0,2,0,1,0,4,1,0,0,0
4.07,101.09,0,7,0,24,21,1,0,1,0,1,0,4,1,0,0,0
4.08,100.64,0,6,0,25,21,1,0,1,0,1,0,4,1,0,0,0
4.09,99.85,0,6,0,21,21,1,0,2,0,1,0,4,1,0,0,0
4.1,100.29,0,6,0,24,21,1,0,1,0,1,0,4,1,0,0,0
4.11,101.49,0,7,0,21,21,1,0,2,0,1,0,4,1,0,0,0
4.12,99.71,0,7,0,23,21,1,0,2,0,1,0,4,1,0,0,0
4.13,100.76,0,6,0,24,21,1,0,2,0,1,0,4,1,0,0,0
4.14,102.1,0,6,0,23,21,1,0,2,0,1,0,4,1,0,0,0
4.15,97.7,0,6,0,20,21,1,0,1,0,1,0,4,1,0,0,0
4.16,95.59,0,7,0,20,21,1,0,2,0,1,0,4,1,0,0,0
4.17,3266.6,0,8,0,23,21,2,1535,3,9,3,0,1604,20,10,8,5
4.18,1650.3,0,8,0,23,21,3,1533,3,6,2,0,9,6,1,0,0
4.19,98.87,0,6,0,22,21,1,0,1,0,1,0,4,1,0,0,0
4.2,1644.3,0,8,0,23,21,3,1530,3,6,2,0,9,6,1,0,0
4.21,101.33,0,6,0,24,21,1,0,1,0,1,0,4,1,0,0,0
4.22,98.45,0,6,0,24,21,1,0,2,0,1,0,4,1,0,0,0
4.23,321.44,0,235,0,24,20,1,0,2,0,1,0,4,1,0,0,0
4.24,287.5,0,199,0,23,20,1,0,2,0,1,0,4,1,0,0,0
4.25,285.67,0,200,0,26,20,1,0,2,0,1,0,4,1,0,0,0
4.26,283.33,0,199,0,23,20,1,0,2,0,1,0,4,1,0,0,0
4.27,281.62,0,194,0,23,21,1,0,2,0,1,0,4,1,0,0,0
4.28,282.34,0,195,0,25,21,1,0,2,0,2,0,4,1,0,0,0
4.29,278.32,0,193,0,24,20,1,0,2,0,1,0,4,1,0,0,0
4.3,275.7,0,188,0,25,20,1,0,2,0,1,0,4,1,0,0,0
4.31,276.64,0,189,0,23,20,1,0,2,0,1,0,4,1,0,0,0
4.32,273.55,0,187,0,24,20,1,0,2,0,1,0,4,1,0,0,0
4.33,275.53,0,191,0,23,21,1,0,3,0,1,0,4,1,0,0,0
4.34,278.36,0,190,0,23,22,1,0,2,0,1,0,4,1,0,0,0
4.35,342.05,0,185,0,26,70,1,0,2,0,1,0,4,1,0,0,0
4.36,307.58,0,185,0,25,49,1,0,2,0,2,0,4,1,0,0,0
4.37,307.09,0,181,0,23,46,1,0,2,0,1,0,4,1,0,0,0
4.38,143.68,0,7,0,25,52,1,0,2,0,1,0,4,1,0,0,0
4.39,137.77,0,6,0,22,52,1,0,1,0,1,0,4,0,0,0,0
4.4,141.49,0,6,0,26,48,1,0,1,0,1,0,4,1,0,0,0
4.41,136.78,0,7,0,22,46,2,0,1,0,1,0,4,1,0,0,0
4.42,141.97,0,6,0,22,48,1,0,1,0,2,0,4,1,0,0,0
4.43,139.06,0,7,0,25,49,1,0,1,0,1,0,4,1,0,0,0
4.44,134.94,0,7,0,24,45,1,0,1,0,1,0,4,1,0,0,0
4.45,140.39,0,7,0,22,46,1,0,2,0,1,0,4,1,0,0,0
4.46,134.82,0,7,0,23,48,1,0,1,0,1,0,4,1,0,0,0
4.47,132.92,0,6,0,22,45,1,0,1,0,1,0,4,1,0,0,0
4.48,135.4,0,6,0,22,45,1,0,1,0,1,0,4,1,0,0,0
4.49,134.68,0,6,0,22,45,1,0,1,0,1,0,4,1,0,0,0
4.5,136.22,0,6,0,24,49,1,0,1,0,1,0,4,1,0,0,0
4.51,134.58,0,6,0,22,48,2,0,1,0,1,0,4,1,0,0,0
4.52,135.57,0,6,0,25,48,1,0,1,0,1,0,4,1,0,0,0
4.53,133.28,0,7,0,22,43,1,0,1,0,1,0,4,1,0,0,0
4.54,133.66,0,6,0,22,47,1,0,1,0,1,0,4,1,0,0,0
4.55,138.8,0,6,0,26,49,1,0,1,0,1,0,4,1,0,0,0
4.56,136.06,0,7,0,22,48,1,0,1,0,1,0,4,1,0,0,0
4.57,132.97,0,6,0,23,46,1,0,1,0,1,0,4,1,0,0,0
4.58,139.41,0,7,0,22,46,1,0,1,0,1,0,4,1,0,0,0
4.59,135.8,0,7,0,24,44,1,0,1,0,1,0,4,1,0,0,0
5,138.91,0,6,0,23,57,1,0,2,0,1,0,4,0,0,0,0
5.01,137.58,0,7,0,27,45,1,0,2,0,1,0,4,1,0,0,0
5.02,136.22,0,6,0,22,50,1,0,1,0,1,0,4,1,0,0,0
5.03,137.04,0,6,0,24,45,1,0,1,0,1,0,4,1,0,0,0
5.04,267.38,0,6,0,24,48,1,0,1,56,36,0,4,1,0,0,0
5.05,275.23,0,6,0,23,50,1,0,2,61,43,0,4,1,0,0,0
5.06,294.33,0,6,0,25,49,1,0,1,66,47,0,4,1,0,0,0
5.07,293.43,0,6,0,26,51,1,0,1,67,45,0,5,1,0,0,0
5.08,288.78,0,7,0,26,52,1,0,1,66,44,0,5,1,0,0,0
5.09,290.49,0,6,0,22,53,1,0,1,66,44,0,4,1,0,0,0
5.1,296.66,0,6,0,26,53,1,0,2,66,45,0,4,1,0,0,0
5.11,293.47,0,6,0,22,54,1,0,1,66,45,0,4,1,0,0,0
5.12,287.69,0,7,0,23,45,2,0,1,65,46,0,4,1,0,0,0
5.13,325.29,0,6,0,24,48,1,0,1,66,46,0,38,1,0,0,0
5.14,1867.9,0,7,0,24,51,1,2,2,65,46,0,1564,13,7,6,0
5.15,2008.7,0,203,1,22,47,1,2,3,66,46,0,1519,13,7,6,0
5.16,470.56,0,200,0,23,50,1,0,2,66,47,0,4,1,0,0,0
5.17,459.32,0,195,0,23,43,1,0,2,66,47,0,5,1,0,0,0
5.18,464.17,0,196,0,24,49,1,0,2,66,47,0,5,1,0,0,0
5.19,465.28,0,193,0,27,47,1,0,2,66,47,0,4,1,0,0,0
5.2,469.77,0,193,0,24,54,1,0,2,66,47,0,4,1,0,0,0
5.21,412.34,0,188,0,23,22,1,0,2,66,47,0,4,1,0,0,0
5.22,411.11,0,190,0,23,22,1,0,2,66,46,0,4,1,0,0,0
5.23,409.92,0,189,0,21,22,1,0,2,66,46,0,4,1,0,0,0
5.24,406.07,0,187,0,22,22,1,0,2,66,46,0,4,1,0,0,0
5.25,405.18,0,183,0,20,21,1,0,2,66,46,0,4,1,0,0,0
5.26,408.72,0,184,0,20,24,1,0,2,66,45,0,4,1,0,0,0
5.27,406.66,0,183,0,20,25,1,0,2,66,45,0,5,1,0,0,0
5.28,241.04,0,7,0,20,25,1,0,2,66,45,0,4,1,0,0,0
5.29,240.12,0,6,0,23,25,1,0,2,66,45,0,5,1,0,0,0
5.3,237.9,0,6,0,22,22,1,0,2,66,45,0,4,1,0,0,0
5.31,237.61,0,6,0,20,22,1,0,2,66,45,0,5,1,0,0,0
5.32,240.28,0,7,0,22,22,2,0,2,66,45,0,4,1,0,0,0
5.33,237.82,0,6,0,20,23,1,0,2,66,45,0,4,1,0,0,0
5.34,237.54,0,7,0,20,22,1,0,2,66,45,0,5,1,0,0,0
5.35,240.03,0,7,0,19,22,1,0,1,65,45,0,5,1,0,0,0
5.36,236.02,0,6,0,19,23,2,0,2,65,45,0,5,1,0,0,0
5.37,237.42,0,6,0,19,23,1,0,1,65,45,0,4,1,0,0,0
5.38,242.54,0,6,0,20,22,1,0,1,65,45,0,4,1,0,0,0
5.39,241.61,0,6,0,23,22,1,0,1,65,45,0,4,1,0,0,0
5.4,238.26,0,7,0,20,22,1,0,2,65,45,0,4,1,0,0,0
5.41,238.07,0,7,0,20,23,1,0,1,65,45,0,5,1,0,0,0
5.42,238.53,0,7,0,22,23,1,0,1,65,45,0,4,1,0,0,0
5.43,237.13,0,7,0,20,22,1,0,2,65,45,0,5,1,0,0,0
5.44,238.29,0,6,0,19,22,1,0,2,65,45,0,4,1,0,0,0
5.45,237.5,0,6,0,19,22,1,0,1,65,45,0,5,1,0,0,0
